probe,Mode,Aperture,TxFrequency_MHz,Location_mm,Focus_mm,Voltage_V,PPP_MPa,PNP_abs_MPa,NumTrials
GE624D,pAM,45.0,15.625,9.0,9.0,15.0,2.5012217303319333,1.7251222378328634,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,16.0,2.5750802281113336,1.779123036064232,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,17.0,2.639808192084835,1.828115137344535,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,18.0,2.682683328819333,1.8804193910151585,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,19.0,2.711148271115689,1.9276329798814327,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,20.0,2.7660112079129013,1.9397976441357387,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,21.0,2.7841616698259375,1.9794821392055686,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,22.0,2.8080864776893635,2.0095841740676197,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,23.0,2.8367614336228395,2.034526288384218,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,24.0,2.850239441858001,2.043586683481448,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,25.0,2.9088851851063846,2.0575539972835846,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,26.0,2.8809693186042042,2.075410952285426,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,27.0,2.906199966245474,2.0804230432885826,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,28.0,2.9066512997780225,2.0851205536489763,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,29.0,2.9258131935382665,2.0997565558242814,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,30.0,2.9889287173020276,2.126210874761837,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,1.6,0.22776026467328225,0.22454258076889108,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,2.0,0.290632859903985,0.2965332553303106,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,3.0,0.44871670814141457,0.46478989089839223,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,4.0,0.6004872495631873,0.6269484546821013,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,5.0,0.7552990673052612,0.7817257937662898,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,6.0,0.9094597317850032,0.9224079853592705,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,7.0,1.0539267293787242,1.0615433790832798,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,8.0,1.1860723534142323,1.184786556630447,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,9.0,1.326789952201355,1.3040017537769668,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,10.0,1.4549103012395632,1.4142898225444744,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,11.0,1.5638866681188979,1.525841892822949,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,12.0,1.682051076756145,1.6192995633639313,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,13.0,1.7762711352913663,1.7126832908615526,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,14.0,1.8377617242743927,1.8161289920189165,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,15.0,1.8678959026933477,1.9192336854419079,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,16.0,1.8856135972778958,2.0109445107833124,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,17.0,1.9181132169253068,2.0938266180204637,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,18.0,1.9701992913255362,2.150319232374892,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,19.0,1.988836434268487,2.2157052930207537,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,20.0,2.0137600632180375,2.266005408157133,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,21.0,2.0895222773507443,2.311650697119527,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,22.0,2.1372951732685697,2.3592845578445396,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,23.0,2.1494323610579897,2.4049592995673215,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,24.0,2.1679292801121846,2.4482599102089595,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,25.0,2.1749185614547355,2.505963061646962,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,26.0,2.167728170149457,2.5733514965766893,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,27.0,2.1919604524284235,2.599872012472664,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,28.0,2.212806755612569,2.6137491147465415,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,29.0,2.2030078791354253,2.6498590719103228,3.0
GE624D,pAM,45.0,15.625,10.0,10.0,30.0,2.191619700737084,2.6810144108036607,3.0
